DATE;AMZN;DIS;BA;HLT;CCL
2/19/2016;534,900024;89,636536;104,235085;39,283195;40,760334
2/22/2016;559,5;90,919617;106,25351;39,322716;41,937717
2/23/2016;552,940002;89,985603;105,80999;39,283195;42,26281
2/24/2016;554,039978;90,032784;104,624275;39,302959;42,201305
2/25/2016;555,150024;90,240341;105,737579;39,91552;42,623055
2/26/2016;555,22998;89,919571;106,95047;40,903526;42,473682
2/29/2016;552,52002;90,117691;106,968567;41,061615;42,139793
3/1/2016;579,039978;92,127228;108,579712;41,39753;43,01844
3/2/2016;580,210022;91,514;108,299133;42,266983;42,315533
3/3/2016;577,48999;93,231056;108,262909;42,662182;42,218876
3/4/2016;575,140015;92,910286;109,584396;43,254986;42,148582
3/7/2016;562,799988;93,768822;111,240807;42,602901;41,340233
3/8/2016;560,26001;92,287613;110,742973;41,377777;40,733959
3/9/2016;559,469971;92,136665;111,20459;41,04184;40,830624
3/10/2016;558,929993;91,55172;111,276993;40,528088;40,681252
3/11/2016;569,609985;92,400841;112,806671;42,010101;42,095871
3/14/2016;573,369995;93,221619;114,354446;42,108894;42,280384
3/15/2016;577,02002;92,683853;114,372559;41,733463;42,095871
3/16/2016;574,27002;92,872551;115,467781;42,090321;42,904221
3/17/2016;559,440002;93,966934;118,300827;42,110146;43,027222
3/18/2016;552,080017;93,589554;121,251572;43,636734;43,607143
3/21/2016;553,97998;92,891411;122,971313;44,429771;43,738937
3/22/2016;560,47998;92,061188;122,301529;44,172039;42,833927
3/23/2016;569,630005;91,353615;120,25592;43,497959;42,227665
3/24/2016;582,950012;91,72155;119,586113;43,755692;42,983299
3/28/2016;579,869995;92,542328;118,834846;44,172039;43,071163
3/29/2016;593,859985;92,608383;118,46376;44,5289;43,615929
3/30/2016;598,690002;93,315971;116,381958;45,064205;46,014626
3/31/2016;593,640015;93,693352;114,897522;44,647861;46,366081
4/1/2016;598,5;93,466919;114,915634;43,636734;46,348507
4/4/2016;593,190002;93,098969;114,354446;43,993599;46,594524
4/5/2016;586,140015;91,514;114,979004;43,299706;45,250202
4/6/2016;602,080017;91,966843;115,793617;44,112564;45,680744
